Enzyme,Bag ID,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
dopa,CO186,0.004390823,CO186,1.91,0.3046875,0.142857144,0.857142856,0.1746,0.149657143,125,3.667401616
dopa,QR65,-0.001374604,QR65,2.03,0.617808219,0.062500001,0.937499999,0.2145,0.20109375,125,-0.854454968
dopa,CO184,0.006912579,CO184,3.09,1.549723757,1.1,-0.1,0.1929,-0.01929,125,-44.79379934
h2o2,CO186,0.00677413,CO186,1.91,0.3046875,0.142857144,0.857142856,0.1746,0.149657143,125,5.658040782
h2o2,QR65,0.017256725,QR65,2.03,0.617808219,0.062500001,0.937499999,0.2145,0.20109375,125,10.72679079
h2o2,CO184,-0.023664953,CO184,3.09,1.549723757,1.1,-0.1,0.1929,-0.01929,125,153.3498738
dopa,AS139,0.014003165,AS139,2,2.646407767,0,1,0.3007,0.3007,125,5.821069403
dopa,QR161,0.009543117,QR161,2.26,2.206122449,0.083333333,0.916666667,0.1915,0.175541667,125,6.795478569
dopa,CO4,-0.010502373,CO4,2.35,0.836635514,0,1,0.2516,0.2516,125,-5.217792835
h2o2,AS139,-0.00794106,AS139,2,2.646407767,0,1,0.3007,0.3007,125,-3.30107255
h2o2,AS89,-0.014784415,AS89,3.92,0.398060837,0.250000002,0.749999998,0.3348,0.251099999,125,-7.359824082
h2o2,AS25,-0.037480222,AS25,3.02,0.792485549,0.499999999,0.500000001,0.3034,0.1517,125,-30.88350488
dopa,AS122,-0.003935918,AS122,4.39,2.308446602,0.125,0.875,0.2372,0.20755,125,-2.370463576
dopa,AS89,-0.011817642,AS89,3.92,0.398060837,0.250000002,0.749999998,0.3348,0.251099999,125,-5.882936306
dopa,AS25,-0.037401108,AS25,3.02,0.792485549,0.499999999,0.500000001,0.3034,0.1517,125,-30.81831542
h2o2,AS122,-0.02069818,AS122,4.39,2.308446602,0.125,0.875,0.2372,0.20755,125,-12.46577956
h2o2,QR161,-0.026137263,QR161,2.26,2.206122449,0.083333333,0.916666667,0.1915,0.175541667,125,-18.61186514
h2o2,CO4,-0.058119066,CO4,2.35,0.836635514,0,1,0.2516,0.2516,125,-28.87473492
dopa,AS199,-0.040852453,AS199,2.18,0.954831461,0.428571428,0.571428572,0.178,0.101714286,125,-50.20490992
dopa,CO146,-0.04193038,CO146,4.69,3.400941176,0.25,0.75,0.2616,0.1962,125,-26.71405437
dopa,CO98,-0.068057753,CO98,3.51,4.394537445,0.166666667,0.833333333,0.2452,0.204333333,125,-41.63402525
h2o2,AS199,-0.011046282,AS199,2.18,0.954831461,0.428571428,0.571428572,0.178,0.101714286,125,-13.57513541
h2o2,CO146,0.000326345,CO146,4.69,3.400941176,0.25,0.75,0.2616,0.1962,125,0.207915989
h2o2,CO98,-0.000623022,CO98,3.51,4.394537445,0.166666667,0.833333333,0.2452,0.204333333,125,-0.381131007
