Bag ID,Enzyme,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
CO10,nag,3.37787579,CO10,4,3.499191176,0,1,0.159,0.159,125,2655.562728
CO157,bxyl,0.602770885,CO157,4,3.669087591,0,1,0.1603,0.1603,125,470.0334412
AS41,bxyl,0.475941423,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,524.2305461
CO10,bxyl,0.905271199,CO10,4,3.499191176,0,1,0.159,0.159,125,711.6911945
CO157,bcell,2.451485092,CO157,4,3.669087591,0,1,0.1603,0.1603,125,1911.638406
AS41,bcell,3.687078872,AS41,4.02,2.702324723,0.428571429,0.571428571,0.1986,0.113485714,125,4061.170722
CO10,bcell,2.794596148,CO10,4,3.499191176,0,1,0.159,0.159,125,2197.00955
CO32,phos,5.211560745,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,5211.560745
AS57,phos,3.63425097,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,6821.041609
CO15,phos,3.070313389,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,3941.054635
CO32,bglu,24.00991482,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,24009.91482
AS57,bglu,5.506493506,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,10335.01034
CO15,bglu,8.099296537,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,10396.25801
CO32,lap,0.052931101,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,52.93110113
AS57,lap,0.100856855,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,189.2958983
CO15,lap,0.113163176,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,145.2562659
CO32,nag,2.655031274,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,2655.031274
AS57,nag,3.621994707,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,6798.038113
CO15,nag,4.248730889,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,5453.671479
CO32,bxyl,0.598533677,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,598.5336771
AS57,bxyl,0.212181234,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,398.238051
CO15,bxyl,0.562531687,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,722.0657416
CO32,bcell,6.523301839,CO32,4.14,4.86271777,0.444444444,0.555555556,0.225,0.125,125,6523.301839
AS57,bcell,1.822605775,AS57,4.04,7.420289855,0.8,0.2,0.333,0.0666,125,3420.806634
CO15,bcell,3.669411692,CO15,3.99,5.823431734,0.705882353,0.294117647,0.3311,0.097382353,125,4710.057288
CO189,phos,7.503824248,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,3916.400965
CO12,phos,5.590404405,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,4400.160886
QR178,phos,8.338086529,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,5015.692089
CO189,bglu,10.47474315,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,5466.984943
CO12,bglu,9.437538106,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,7428.207875
QR178,bglu,9.28019334,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,5582.406966
