SampleID	wet.wt	dry.wt	perc.moist	perc.dry	enz.raw	enz.wt	volume
CO52	1.82	0.225454545	0.764705883	0.235294117	0.2304	0.054211764	125
CO53	3.31	1.279207921	0.307692308	0.692307692	0.3526	0.244107692	125
CO54	3.93	8.543056604	0.647058824	0.352941176	0.2886	0.101858824	125
CO55	4.31	3.966655629	0	1		0	125
CO56	2.11	0.350617284	0.200000001	0.799999999	0.19892	0.159136	125
CO57	5.34	4.618719212	0.681818182	0.318181818	0.3559	0.113240909	125
CO58	4.28	3.99833887	0	1	0.23432	0.23432	125
CO59	3.16	1.64631016	0.181818182	0.818181818	0.2621	0.214445455	125
CO60	3	0.985321637	0.181818181	0.818181819	0.3368	0.275563637	125
CO61	3.75	1.924796748	0.235294117	0.764705883	0.2444	0.186894118	125
CO62	3.19	2.994761905	0.434782609	0.565217391	0.2804	0.158486956	125
CO63	3.78	2.35336	0.461538462	0.538461538	0.2136	0.115015385	125
CO64	1.46	0.430588235	0.666666666	0.333333334	0.2013	0.0671	125
CO65	2.27	0.24969697	0.07692308	0.92307692		0	125
CO66			#DIV/0!	#DIV/0!		#DIV/0!	125
CO67	4.18	3.189690722	0	1	0.3118	0.3118	125
CO68			#DIV/0!	#DIV/0!		#DIV/0!	125
CO69	1.88	0.122068966	-0.083333327	1.083333327		0	125
CO70	1.86	0.132241379	0.250000002	0.749999998		0	125
CO71	3.82	3.700787402	0.2	0.8	0.2138	0.17104	125
CO72	1.84	0.278	0	1	0.1972	0.1972	125
CO73	4.13	3.559157895	0.25	0.75	0.1663	0.124725	125
CO74	4.2	3.572646048	0	1	0.1456	0.1456	125
CO75	6.71	1.668379374	0.133333333	0.866666667	0.2443	0.211726667	125
CO76	2.01	0.425	0.125	0.875	0.1933	0.1691375	125
CO77	3.16	0.947315789	0.090909091	0.909090909	0.2175	0.197727273	125
CO78	5.73	3.820224719	0.111111111	0.888888889	22753	20224.88889	125
CO79	1.83	0.295272727	0.076923075	0.923076925		0	125
CO80	4.25	3.686195286	0.2	0.8	0.2377	0.19016	125
CO81	1.92	0.348225806	0	1		0	125
CO82	3.98	2.374126394	0.285714286	0.714285714	0.2103	0.150214286	125
CO83	2.12	1.214457831	0.2	0.8	0.2144	0.17152	125
CO84	2.07	0.24987013	0.333333332	0.666666668	0.199	0.132666667	125
CO85	2.05	0.548571429	0.181818182	0.818181818	0.2653	0.217063636	125
CO86	1.87	0.383333333	0	1	0.222	0.222	125
CO87	5.3	4.012119701	0.142857143	0.857142857	0.2398	0.205542857	125
CO88	1.61	3.934117647	0.1	0.9	0.2924	0.26316	125
CO89	2	0.198028169	0.285714286	0.714285714		0	125
CO90	2.05	0.238918919	0	1		0	125
CO91	4.03	3.035036496	0	1	0.33251	0.33251	125
CO92	2.31	0.48	0.166666667	0.833333333	0.2841	0.23675	125
CO93	4.59	3.829189189	0.1	0.9	0.2664	0.23976	125
CO94	2.91	1.8775	0	1	0.2683	0.2683	125
CO95	1.91	0.361904762	0	1		0	125
CO96	4.31	3.579210526	0.166666666	0.833333334	0.2679	0.22325	125
CO97	3.64	1.586016949	0.25	0.75	0.2172	0.1629	125
CO98	3.51	4.394537445	0.166666667	0.833333333	0.2452	0.204333333	125
CO99			#DIV/0!	#DIV/0!		#DIV/0!	125
CO100	2	0.437183099	0.250000001	0.749999999	0.2756	0.2067	125
CO101	2.17	0.693103448	0.333333332	0.666666668	0.3444	0.2296	125
CO102	2.27	0.339285714	0.18181818	0.81818182	0.2317	0.189572728	125
CO103	3.56	2.055454545	0.076923077	0.923076923	0.3297	0.304338462	125
CO104	2.18	1.521777778	0.066666667	0.933333333	0.2953	0.275613333	125
CO105	2.4	1.129090909	0.083333333	0.916666667	0.252	0.231	125
CO106	4.23	3.241216216	0.222222222	0.777777778	0.2703	0.210233333	125
CO107	6.73	3.719668508	0.2	0.8	0.3281	0.26248	125
CO108	4.7	3.155321637	0	1	0.2364	0.2364	125
CO109	3.98	3.644029851	0	1	0.1779	0.1779	125
CO110	2.34	3.054056604	0.2	0.8	0.201	0.1608	125
CO111	2.92	0.930184049	0.076923077	0.923076923	0.2491	0.229938462	125
CO112	1.82	0.25	0.083333332	0.916666668		0	125
CO113	4.09	3.4875	0.333333333	0.666666667	0.2375	0.158333333	125
CO114	2.82	1.89379085	0.25	0.75	0.2602	0.19515	125
CO115	1.64	0.116285714	0.099999997	0.900000003		0	125
CO116	5.26	3.878972431	0.2	0.8	0.1989	0.15912	125
CO117	4.28	2.010033445	0	1	0.27809	0.27809	125
CO118	4.82	3.730909091	0.3	0.7	0.3782	0.26474	125
CO119	2.72	1.483125	0.363636364	0.636363636	0.2159	0.137390909	125
CO120	3.5	2.648648649	0.529411765	0.470588235	0.1995	0.093882353	125
CO121	4.5	3.373021807	0	1	0.1754	0.1754	125
CO122	2.11	0.549390244	0.117647058	0.882352942	0.216	0.190588235	125
CO123	2.83	1.32869281	0.222222222	0.777777778	0.1914	0.148866667	125
CO124	3.33	2.168292683	0.230769231	0.769230769	0.3617	0.278230769	125
CO125			#DIV/0!	#DIV/0!		#DIV/0!	125
CO126	2.04	0.26	0	1		0	125
CO127	1.66	0.26027027	0.1	0.9	0.1434	0.12906	125
CO128	3.99	3.440848708	0	1	0.2168	0.2168	125
CO129	3.88	1.636923077	0.066666667	0.933333333	0.2481	0.23156	125
CO130	2.08	0.26	0.555555554	0.444444446		0	125
CO131	3.05	2.351123596	0.142857143	0.857142857	0.3079	0.263914286	125
CO132	4.25	3.2775	0.5	0.5	0.218	0.109	125
CO133	3.89	4.264169884	0.307692308	0.692307692	0.1556	0.107723077	125
CO134	1.95	0.509090909	0.133333334	0.866666666		0	125
CO135	4.14	4.149407666	0.285714286	0.714285714	0.22114	0.157957143	125
CO136	5.01	3.349595687	0.454545455	0.545454545	0.2966	0.161781818	125
CO137	1.97	0.344927536	0.133333333	0.866666667		0	125
CO138	1.91	0.483870968	0.25	0.75	0.2081	0.156075	125
CO139	2.12	1.364146341	0.083333333	0.916666667	0.1796	0.164633333	125
CO140	1.82	0.401509434	0	1	0.3077	0.3077	125
CO141	2.08	0.346375	0.222222222	0.777777778	0.2906	0.226022222	125
CO142	4.37	3.067184466	0	1	0.1793	0.1793	125
CO143	1.74	0.311304348	0.285714288	0.714285712	0.29	0.207142857	125
CO144	3.75	3.627909836	0	1	0.1934	0.1934	125
CO145	3.57	2.142035398	0.8125	0.1875	0.346	0.064875	125
CO146	4.69	3.400941176	0.25	0.75	0.2616	0.1962	125
CO147	1.85	0.235714286	0.166666669	0.833333331	0.1564	0.130333333	125
CO148	2.63	0.348656716	0.058823528	0.941176472		0	125
CO149	2.8	0.830328947	0	1	0.246	0.246	125
CO150	2.68	0.289855072	0.25	0.75		0	125
CO151	1.86	0.243333333	0.166666665	0.833333335		0	125
CO152	3.51	2.591210762	0.222222222	0.777777778	0.3668	0.285288889	125
CO153	1.69	0.11	0.444444445	0.555555555		0	125
CO154	3.61	2.519742489	0.181818182	0.818181818	0.2859	0.233918182	125
CO155	4.7	3.563647059	0.1	0.9	0.2278	0.20502	125
CO156	2.77	0.8256	0.2	0.8	0.2442	0.19536	125
CO157	4	3.669087591	0	1	0.1603	0.1603	125
CO158	5.3	4.081795511	0	1	0.1617	0.1617	125
CO159	2.27	0.153163265	0.437499997	0.562500003		0	125
CO160	1.68	0.447073171	0.400000001	0.599999999		0	125
CO161	4.03	4.299781818	0.375	0.625	0.236	0.1475	125
CO162	5.85	2.19571116	0	1	0.3807	0.3807	125
CO163	2.82	0.794771242	0.52631579	0.47368421		0	125
CO164	2.13	0.675903614	0.249999999	0.750000001	0.2456	0.1842	125
CO165	4.01	4.163823529	0	1	0.1896	0.1896	125
CO166	2.04	0.143636364	0.461538465	0.538461535		0	125
CO167	1.91	0.44	0.272727273	0.727272727	0.2296	0.166981818	125
CO168	4.29	3.597	0.333333333	0.666666667	0.6407	0.427133333	125
CO169	2.56	1.0275	0.222222222	0.777777778	0.21	0.163333333	125
CO170	2.06	0.577307692	0.124999999	0.875000001	0.1947	0.1703625	125
CO171	1.98	0.295857143	0	1	0.288	0.288	125
CO172	4.19	4.159446367	0.25	0.75	0.2603	0.195225	125
CO173	4.39	2.926319218	0.166666666	0.833333334	0.2603	0.216916667	125
CO174	4.02	3.969889299	0	1	0.3653	0.3653	125
CO175	3.07	7.391884058	0.71875	0.28125	0.2511	0.070621875	125
CO176	2.1	0.31	0.066666668	0.933333332	0.4268	0.398346666	125
CO177	1.82	0.344878049	0.153846156	0.846153844		0	125
CO178	5.21	10.81616368	0.588235294	0.411764706		0	125
CO179	4.92	3.687768595	0.428571429	0.571428571	0.3238	0.185028571	125
CO180	3.97	2.55762963	0	1	0.2793	0.2793	125
CO181	2.59	0.276923077	0	1		0	125
CO182	2.17	0.34137931	0.11111111	0.88888889		0	125
CO183	2.77	1.243401361	0.052631579	0.947368421	0.2913	0.275968421	125
CO184	3.09	1.549723757	1.1	-0.1	0.1929	-0.01929	125
CO185	2.05	0.471298701	0.375	0.625	0.2149	0.1343125	125
CO186	1.91	0.3046875	0.142857144	0.857142856	0.1746	0.149657143	125
CO187	4.65	3.33125	0	1	0.2014	0.2014	125
CO188	2.29	1.214545455	-0.076923077	1.076923077	0.2124	0.228738461	125
CO189	4.65	3.467240356	0	1	0.2395	0.2395	125
CO190	4	3.694301471	0.142857143	0.857142857	0.1607	0.137742857	125
CO191	2.14	0.893793103	0.11111111	0.88888889	0.2379	0.211466667	125
CO192	3.29	1.491940299	0.25	0.75	0.2781	0.208575	125
CO193	2.23	0.196195652	0.299999997	0.700000003		0	125
CO194	2.01	0.510277778	0.23076923	0.76923077	0.2001	0.153923077	125
CO195	3.3	-0.226865672	0.083333335	0.916666665		0	125
CO196	5.42	3.872451456	0.2	0.8	0.2263	0.18104	125
CO197	4.04	2.400652174	0	1	0.16949	0.16949	125
CO198			#DIV/0!	#DIV/0!		#DIV/0!	125
CO199	4.01	3.801648352	0	1	0.27	0.27	125
CO200	4.11	4.867526502	0	1		0	125
