"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"lap","QR197","0.0369502523431867","QR197",3.13,2.127567568,"0","1",0.3537,"0.3537",125,13.0584719900999
"lap","QR146","0.0183992640294388","QR146",3.07,1.097206704,"0.181818182","0.818181818",0.02577,"0.021084545",125,109.080276746776
"nag","AS77","2.63560885608856","AS77",3.23,1.731139896,"0.1","0.9",0.3304,"0.29736",125,1107.92005317148
"nag","QR197","1.09974627339042","QR197",3.13,2.127567568,"0","1",0.3537,"0.3537",125,388.657857432294
"nag","QR146","1.06850228658537","QR146",3.07,1.097206704,"0.181818182","0.818181818",0.02577,"0.021084545",125,6334.62974055979
"bxyl","AS77","0.261276681433749","AS77",3.23,1.731139896,"0.1","0.9",0.3304,"0.29736",125,109.831803804206
"bxyl","QR197","0.177384513127285","QR197",3.13,2.127567568,"0","1",0.3537,"0.3537",125,62.6889005962981
"bxyl","QR146","0.138786084381939","QR146",3.07,1.097206704,"0.181818182","0.818181818",0.02577,"0.021084545",125,822.795111193643
"bcell","AS77","1.70689655172414","AS77",3.23,1.731139896,"0.1","0.9",0.3304,"0.29736",125,717.521082073976
"bcell","QR197","0.673701298701299","QR197",3.13,2.127567568,"0","1",0.3537,"0.3537",125,238.090648395992
"bcell","QR146","0.484848484848485","QR146",3.07,1.097206704,"0.181818182","0.818181818",0.02577,"0.021084545",125,2874.43056542414
"phos","AS21","1.59782745989643","AS21",2.84,0.752903226,"0.400000001","0.599999999",0.2276,"0.13656",125,1462.56907210789
"phos","QR140","2.23113379511484","QR140",2.94,1.622564103,"0.142857143","0.857142857",0.2731,"0.234085714",125,1191.40856408416
"phos","CO71","0.811163275952008","CO71",3.82,3.700787402,"0.2","0.8",0.2138,"0.17104",125,592.816940446685
"bglu","AS21","4.28020405623989","AS21",2.84,0.752903226,"0.400000001","0.599999999",0.2276,"0.13656",125,3917.87863964548
"bglu","QR140","3.09709017574186","QR140",2.94,1.622564103,"0.142857143","0.857142857",0.2731,"0.234085714",125,1653.82271883423
"bglu","CO71","1.82726623840114","CO71",3.82,3.700787402,"0.2","0.8",0.2138,"0.17104",125,1335.40855823283
"lap","AS21","0.0802289048473968","AS21",2.84,0.752903226,"0.400000001","0.599999999",0.2276,"0.13656",125,73.4374129022012
"lap","QR140","0.0536717495987159","QR140",2.94,1.622564103,"0.142857143","0.857142857",0.2731,"0.234085714",125,28.6603081631863
"lap","CO71","0.0104846225535881","CO71",3.82,3.700787402,"0.2","0.8",0.2138,"0.17104",125,7.66240539755912
"nag","AS21","1.00864123957092","AS21",2.84,0.752903226,"0.400000001","0.599999999",0.2276,"0.13656",125,923.25831097221
"nag","QR140","0.685483870967742","QR140",2.94,1.622564103,"0.142857143","0.857142857",0.2731,"0.234085714",125,366.043200188491
"nag","CO71","1.27508565834557","CO71",3.82,3.700787402,"0.2","0.8",0.2138,"0.17104",125,931.862180151989
"bxyl","AS21","0.167865707434053","AS21",2.84,0.752903226,"0.400000001","0.599999999",0.2276,"0.13656",125,153.655634367726
"bxyl","QR140","0.241114000866927","QR140",2.94,1.622564103,"0.142857143","0.857142857",0.2731,"0.234085714",125,128.753052005411
"bxyl","CO71","0.176304654442877","CO71",3.82,3.700787402,"0.2","0.8",0.2138,"0.17104",125,128.847531602898
"bcell","AS21","1.27281616688396","AS21",2.84,0.752903226,"0.400000001","0.599999999",0.2276,"0.13656",125,1165.07045152676
"bcell","QR140","0.773617511520737","QR140",2.94,1.622564103,"0.142857143","0.857142857",0.2731,"0.234085714",125,413.105897355582
"bcell","CO71","0.533292978208232","CO71",3.82,3.700787402,"0.2","0.8",0.2138,"0.17104",125,389.742880472574
"phos","AS29","2.23851851851852","AS29",3.14,1.379032258,"0.2","0.8",0.2931,"0.23448",125,1193.34192602702
