"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"bglu","QR204","17.9263131690316","QR204",4.15,3.587237762,"0","1",0.204,"0.204",125,10984.26052024
"lap","QR36","0.0785872781065089","QR36",5.28,3.752380952,"0.125","0.875",0.317,"0.277375",125,35.415627808251
"lap","CO128","0.0929682217714672","CO128",3.99,3.440848708,"0","1",0.2168,"0.2168",125,53.6025263903755
"lap","QR204","0.089524765729585","QR204",4.15,3.587237762,"0","1",0.204,"0.204",125,54.8558613539124
"nag","QR36","1.62190082644628","QR36",5.28,3.752380952,"0.125","0.875",0.317,"0.277375",125,730.915198939288
"nag","CO128","2.53691983122363","CO128",3.99,3.440848708,"0","1",0.2168,"0.2168",125,1462.70746726455
"nag","QR204","3.07020435069216","QR204",4.15,3.587237762,"0","1",0.204,"0.204",125,1881.25266586529
"bxyl","QR36","0.18448275862069","QR36",5.28,3.752380952,"0.125","0.875",0.317,"0.277375",125,83.1377911765164
"bxyl","CO128","0.756081525312295","CO128",3.99,3.440848708,"0","1",0.2168,"0.2168",125,435.932613764008
"bxyl","QR204","0.436252414681262","QR204",4.15,3.587237762,"0","1",0.204,"0.204",125,267.311528603714
"bcell","QR36","0.787518573551263","QR36",5.28,3.752380952,"0.125","0.875",0.317,"0.277375",125,354.897960140272
"bcell","CO128","2.47220163083766","CO128",3.99,3.440848708,"0","1",0.2168,"0.2168",125,1425.39300670991
"bcell","QR204","8.21718931475029","QR204",4.15,3.587237762,"0","1",0.204,"0.204",125,5035.04247227346
"phos","QR174","5.61717696899673","QR174",3.85,3.565898438,"0","1",0.223,"0.223",125,3148.64179876498
"phos","QR168","4.71753319828944","QR168",3.29,3.76137931,"0.1","0.9",1661,"1494.9",125,0.394468960991491
"phos","CO73","4.89874110563766","CO73",4.13,3.559157895,"0.25","0.75",0.1663,"0.124725",125,4909.54209825382
"bglu","QR174","6.25539477024626","QR174",3.85,3.565898438,"0","1",0.223,"0.223",125,3506.38720305284
"bglu","QR168","5.98593318261743","QR168",3.29,3.76137931,"0.1","0.9",1661,"1494.9",125,0.500529565741641
"bglu","CO73","11.0088951310861","CO73",4.13,3.559157895,"0.25","0.75",0.1663,"0.124725",125,11033.1681009081
"lap","QR174","0.0613317757009346","QR174",3.85,3.565898438,"0","1",0.223,"0.223",125,34.3787980386405
"lap","QR168","0.0407885791978246","QR168",3.29,3.76137931,"0.1","0.9",1661,"1494.9",125,0.00341064445764136
"lap","CO73","0.0241071428571429","CO73",4.13,3.559157895,"0.25","0.75",0.1663,"0.124725",125,24.1602955072589
