Bag ID,Species,Date Deployed,Date Collected,Date Processsed,Harvest,Time.mo,Bag weight,InitialLeafWeight,TotalLeafWeight,Tin #,EmptyTinWght,WetLeafTin,DryLeafTin,AFDMTin,LeafTinAFDM,AFDMLeafTinAshed,DryWeightTin,TotDryWeight,perc.moist,soilg,dryweightsoil,PropInitial,perc.dry,enz.raw,enz.wt
CO175,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,7.35,5.05,18.66,322,1,3.07,1.82,0.99,1.31,1.22,0.82,7.391884058,0.71875,5.312916667,2.078967391,0.115784075,0.28125,0.2511,0.070621875
CO176,CAROVA,19-Dec-17,16-Jan-19,17-Jan-19,H2,1.0,6.57,4.91,0.81,40,1.29,2.1,1.6,1.28,1.43,1.29,0.31,0.31,0.066666668,0.020666667,0.289333333,0.054998868,0.933333332,0.4268,0.398346666
CO177,CAROVA,19-Dec-17,18-Jun-19,19-Jun-19,H3,1.5,6.63,4.92,1.01,322,1,1.82,1.28,1.28,1.41,1.3,0.28,0.344878049,0.153846156,0.053058161,0.291819887,0.05018791,0.846153844,,0
CO178,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.16,4.96,33.04,109,1.3,5.21,2.58,1.27,1.44,1.37,1.28,10.81616368,0.588235294,6.362449225,4.453714458,0.36973436,0.411764706,,0
CO179,CAROVA,19-Dec-17,11-Jun-18,12-Jun-18,H1,0.5,6.52,5.01,18.09,5,1.29,4.92,2.03,1.3,1.37,1.33,0.74,3.687768595,0.428571429,1.580472255,2.10729634,0.240353161,0.571428571,0.3238,0.185028571
CO18,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,7.14,4.94,0.93,21,1.27,1.88,1.44,1.3,1.41,1.36,0.17,0.259180328,0.545454545,0.141371088,0.11780924,0.010840011,0.454545455,0.1581,0.071863636
CO180,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,6.89,4.99,10.79,313,1.27,3.97,1.91,1.29,1.38,1.29,0.64,2.55762963,0,0,2.55762963,0.512551028,1,0.2793,0.2793
CO181,CAROVA,19-Dec-17,17-Jun-19,18-Jun-19,H3,1.5,7.21,4.99,1.44,310,1.29,2.59,1.54,1.29,1.43,1.29,0.25,0.276923077,0,0,0.276923077,0.055495607,1,,0
CO182,CAROVA,19-Dec-17,18-Jan-19,25-Jan-19,H2,1.0,7.54,4.94,0.9,3,1.3,2.17,1.63,1.28,1.37,1.29,0.33,0.34137931,0.11111111,0.037931034,0.303448276,0.054601579,0.88888889,,0
CO183,CAROVA,19-Dec-17,13-Jan-19,14-Jan-19,H2,1.0,7.16,4.97,7.03,117,1.3,2.77,1.56,1.29,1.48,1.3,0.26,1.243401361,0.052631579,0.065442177,1.177959184,0.224539503,0.947368421,0.2913,0.275968421
