Sample,bcell,bglu,bxyl,lap,nag,phos
AS21,1165.070452,3917.87864,153.6556344,73.4374129,923.258311,1462.569072
AS22,529.6284922,2035.036173,106.1434817,9.48983841,894.3392683,2299.842012
AS23,309.7062676,2444.073902,113.6605384,21.94145421,276331.0185,2198.043741
AS24,1279.060697,4963.24827,221.1864245,-21.55925746,1543.35885,9028.708574
AS26,2611.299867,7575.164437,252.4733227,40.96202207,3538.007421,2945.321244
AS27,1113.772906,4537.121805,222.4545754,105.2444297,1944.783416,2594.445962
AS28,984.6891371,3659.178643,67.95529889,34.05151065,900.2903966,2496.351679
AS29,272.7316445,1076.869925,76.20443665,22.07364437,1208.142226,1193.341926
AS31,2171.565784,8202.888009,357.6016689,-27.55506428,5539.643855,12644.82555
AS32,816.2620558,3452.646982,226.9385603,-10.9966948,1637.313718,3234.524792
AS33,487.932727,2590.271301,112.2635076,0,687.0092796,1905.241705
AS34,383.7318324,3279.655419,65.34083838,4.95475213,803.824112,805.0260828
AS35,3197.128742,13359.76127,534.1300307,77.78703416,6378.010455,17788.89295
AS36,372.8828398,2098.080594,69.0437325,33.73798773,975.9442135,1840.058722
AS37,477.2483651,2649.066412,55.24650253,56.30130942,642.0269053,1684.404155
AS39,1216.186414,5080.280196,136.6308561,52.74475253,1226.458204,9807.420555
AS4,2254.619111,8541.511459,261.418772,16.69708343,3667.345626,6416.42358
AS40,1287.320887,4161.617118,260.6147602,34.57470349,2142.44573,4164.17969
AS41,4053.435258,12033.65233,524.2305461,-178.7945737,6595.49666,9983.302081
AS43,710.5885107,2340.825316,156.833478,-7.641240849,537.7409517,3329.749303
AS45,1014.784493,3847.936746,198.2084948,73.27003624,1898.168707,2063.147461
AS46,550.1954843,2204.786509,147.6837539,35.80145825,830.1983473,2555.443254
AS48,2118.512433,5721.985782,402.4327819,47.79396704,1622.177143,11092.83654
AS49,3869.684593,15385.52331,479.7795871,0,4934.809884,4774.744086
AS5,1915.018384,6993.70002,298.3429656,-98.79273447,2822.907141,9619.794247
AS50,1127.590818,3310.484986,151.9717237,55.66216497,1322.857448,3934.521887
AS53,1819.347583,9248.210745,384.1324278,147.5270552,3176.131645,6248.888282
AS54,1166.365923,3505.248077,237.7920559,-51.22835004,2235.948313,1482.091062
AS56,470.0821414,3274.483202,111.0619242,28.59282151,1812.589845,2230.778081
AS57,3415.561788,10237.51024,391.3151866,-41.92712526,6785.36343,6724.499968
AS59,435.5726772,1023.843743,110.3733532,17.66581102,493.6832443,2473.237163
AS60,237.389866,1300.581106,79.62764085,17.71775587,784.7355146,1409.466806
AS61,1329.943368,6452.356802,281.989622,-26.65877209,1553.689039,10181.95917
AS62,,1638.542308,,7.874192725,,1515.466215
AS63,977.5335268,2967.227574,267.2940408,58.75223027,1173.157259,3066.489417
AS65,763.8294985,5004.999478,85.83488547,-2.275338057,4314.999149,7051.036866
AS66,3256.275516,14761.64426,514.1478532,322.0034265,6548.639337,16359.77337
AS67,399.1458972,1601.869712,84.02785316,-4.657426488,1071.991838,1443.752041
AS68,536.9287817,2470.001546,81.04206924,12.14613267,898.8158746,4908.099857
AS69,1601.789207,3696.173279,156.378766,-13.39346851,3267.206846,2774.204072
AS7,775.7182478,3241.745669,120.8542324,82.47982673,1288.246255,2426.415895
AS70,1226.85215,9288.464603,286.3296652,148.6643241,2519.004287,4365.812814
AS73,794.85011,2222.598101,160.0929137,45.04465319,1054.220742,1558.878772
AS74,1580.949956,7346.777237,205.3394046,-22.43906196,1798.074942,5510.977255
AS75,438.4248674,1279.068878,90.1975774,41.47180546,727.8680873,1705.793091
AS76,814.4143057,5101.562887,175.9580959,60.66283523,1222.33569,5186.821673
AS77,717.5210821,2265.969798,109.8318038,38.24784885,1107.920053,1026.295115
AS78,5345.811468,13313.91496,1157.189424,59.53489162,,5907.401679
AS79,281.9830855,1866.972564,109.9133004,45.27238438,672.0757073,1925.141205
AS8,423.9000478,1938.985445,98.02388886,16.20649635,515.370844,754.3748513
AS80,662.1541516,2523.908845,124.1532799,43.61655302,1627.204756,2017.893731
AS81,366.7921945,1467.161504,106.6423063,0,677.5570652,1461.940901
AS82,333.1443679,1653.367176,82.07010125,31.67161251,520.9688084,2247.405648
AS83,31.56917218,286.1303908,9.59608713,-17.91876849,,83.11554708
AS84,482.2264684,1981.007799,142.1086782,23.81813767,467.2938273,708.1315868
AS86,1224.033014,4044.910921,151.915605,71.87212511,907.9679883,1922.109148
AS9,2285.361748,9277.13673,337.7329285,62.07491105,3254.855569,7379.689579
AS91,607.6448818,2341.396679,185.1186069,-16.12156648,515.7376601,2232.847872
AS93,1770.630345,7480.233924,169.5848921,-19.17997994,3294.067395,5343.763534
AS94,2233.962541,7959.49015,302.4339208,12.00574739,5065.387657,9764.391092
AS97,403.6452461,2301.264402,124.0559001,39.94293607,1079.532815,2448.894637
AS98,1562.952469,4111.541965,185.9400442,-2.403156021,1455.835622,6396.804617
AS99,6394.533254,9771.548799,648.5653103,40.67722318,4767.334592,4693.111782
CO10,2196.215036,10720.23714,711.6911945,4.448456143,2653.231844,1900.67202
CO100,450.2790668,2631.958522,81.08668282,-30.94103812,1485.603173,807.5933616
CO101,359.0486516,2566.41236,49.22992809,-20.35108566,787.3665307,750.0724928
CO102,256.6951395,2378.772113,51.39208851,21.42777693,2444.433644,917.4189467
CO103,777.1883795,2218.291287,116.7770905,8.986955785,795.4728836,661.3934691
CO104,480.6175998,2068.631911,96.31991338,-7.180397382,1127.030401,807.4053269
CO106,,7447.715807,547.3338971,49.00363637,1453.719691,1608.579061
CO107,1210.341022,5206.271732,260.2984055,-2.425767931,2583.177614,1913.820726
CO108,822.1952747,3850.453016,292.220376,42.75368304,1706.316297,1324.903732
